File,k,n_clusters,Silhouette Score
D10_data.csv,2,5,0.3692214706813785
D10_data.csv,3,5,0.5428071323929998
D10_data.csv,4,5,0.6817316138364822
D10_data.csv,5,5,0.7656138252552209
D10_data.csv,6,5,0.6936838608727438
D10_data.csv,7,5,0.5999008415412702
D10_data.csv,8,5,0.5876126392092856
D10_data.csv,9,5,0.5846921470514912
D10_data.csv,10,5,0.5726044230062244
D10_data.csv,11,5,0.5744310094035796
D18_data.csv,2,3,0.5437617589858962
D18_data.csv,3,3,0.5265021544700326
D18_data.csv,4,3,0.6653400318576445
D18_data.csv,5,3,0.6427788098453311
D18_data.csv,6,3,0.6063069718444666
D18_data.csv,7,3,0.5739200282091965
D18_data.csv,8,3,0.481584588626888
D18_data.csv,9,3,0.44836473222829015
D18_data.csv,10,3,0.4316658572124489
D18_data.csv,11,3,0.43060845947086734
D20_data.csv,2,5,0.46154607061074526
D20_data.csv,3,5,0.6182874179850859
D20_data.csv,4,5,0.6658167603371317
D20_data.csv,5,5,0.6547185533989902
D20_data.csv,6,5,0.6409701600332249
D20_data.csv,7,5,0.5724018571414141
D20_data.csv,8,5,0.4983759898025111
D20_data.csv,9,5,0.48535120602154763
D20_data.csv,10,5,0.48477405977280563
D20_data.csv,11,5,0.47858669773454315
D7_data.csv,2,4,0.3761585285411364
D7_data.csv,3,4,0.47622922179442306
D7_data.csv,4,4,0.5399923693668045
D7_data.csv,5,4,0.5771146181252357
D7_data.csv,6,4,0.6529206878248881
D7_data.csv,7,4,0.622946471514932
D7_data.csv,8,4,0.6608841199791364
D7_data.csv,9,4,0.6537695053585304
D7_data.csv,10,4,0.631334399681418
D7_data.csv,11,4,0.6253524195636169
D9_data.csv,2,3,0.5124209182526773
D9_data.csv,3,3,0.7266004332899588
D9_data.csv,4,3,0.652988704359308
D9_data.csv,5,3,0.5975424205859495
D9_data.csv,6,3,0.565246507960208
D9_data.csv,7,3,0.519021759284773
D9_data.csv,8,3,0.49363068756366907
D9_data.csv,9,3,0.48903284077569603
D9_data.csv,10,3,0.41354370429781223
D9_data.csv,11,3,0.40286492840872007
