File,m,n_clusters,Silhouette Score
D10_data.csv,1.5,2,0.4542292338964774
D10_data.csv,2.0,2,0.4542292338964774
D10_data.csv,4.0,2,0.41817431303807623
D10_data.csv,1.5,3,0.5596097878044658
D10_data.csv,2.0,3,0.5378739058334231
D10_data.csv,4.0,3,0.4887605895288876
D10_data.csv,1.5,4,0.6817316138364822
D10_data.csv,2.0,4,0.6793179720604309
D10_data.csv,4.0,4,0.6817316138364822
D10_data.csv,1.5,5,0.7656138252552209
D10_data.csv,2.0,5,0.7656138252552209
D10_data.csv,4.0,5,0.7656138252552209
D10_data.csv,1.5,6,0.7032544584539971
D10_data.csv,2.0,6,0.693512387814602
D10_data.csv,4.0,6,0.6904320081388322
D18_data.csv,1.5,2,0.5437617589858962
D18_data.csv,2.0,2,0.5437617589858962
D18_data.csv,4.0,2,0.5437617589858962
D18_data.csv,1.5,3,0.5265021544700326
D18_data.csv,2.0,3,0.6382616190784849
D18_data.csv,4.0,3,0.6382616190784849
D18_data.csv,1.5,4,0.6653400318576445
D18_data.csv,2.0,4,0.66476600672666
D18_data.csv,4.0,4,0.66476600672666
D20_data.csv,1.5,2,0.4565742829029403
D20_data.csv,2.0,2,0.410993304452702
D20_data.csv,4.0,2,0.39569183043566813
D20_data.csv,1.5,3,0.6182874179850859
D20_data.csv,2.0,3,0.6182874179850859
D20_data.csv,4.0,3,0.6182874179850859
D20_data.csv,1.5,4,0.6649220887900237
D20_data.csv,2.0,4,0.6649220887900237
D20_data.csv,4.0,4,0.6644415624060876
D20_data.csv,1.5,5,0.6538901272284234
D20_data.csv,2.0,5,0.6538901272284234
D20_data.csv,4.0,5,0.6547185533989902
D20_data.csv,1.5,6,0.5852645591004914
D20_data.csv,2.0,6,0.5845198493483155
D20_data.csv,4.0,6,0.612684226432649
D7_data.csv,1.5,2,0.4888139243366456
D7_data.csv,2.0,2,0.4888139243366456
D7_data.csv,4.0,2,0.3761585285411364
D7_data.csv,1.5,3,0.4762275661389021
D7_data.csv,2.0,3,0.41686560679928264
D7_data.csv,4.0,3,0.41686560679928264
D7_data.csv,1.5,4,0.4974712506699173
D7_data.csv,2.0,4,0.4534597402885253
D7_data.csv,4.0,4,0.5399923693668045
D7_data.csv,1.5,5,0.5928029326848605
D7_data.csv,2.0,5,0.5841919807515488
D7_data.csv,4.0,5,0.4994158118223498
D9_data.csv,1.5,2,0.5954231132667784
D9_data.csv,2.0,2,0.5954231132667784
D9_data.csv,4.0,2,0.5954231132667784
D9_data.csv,1.5,3,0.7266004332899588
D9_data.csv,2.0,3,0.7266004332899588
D9_data.csv,4.0,3,0.7266004332899588
D9_data.csv,1.5,4,0.652988704359308
D9_data.csv,2.0,4,0.6526350588326766
D9_data.csv,4.0,4,0.6480643524937617
