x,y,label,Cluster,PCA1,PCA2
2.0495680445929083,-0.0199766844774502,1,3,-2.0284373012117016,0.6318018157928796
2.072931485252448,0.1917398249676775,1,3,-2.2641260136876786,0.4549060810569374
1.869586601585718,-0.0910945331474801,1,3,-1.912055786690551,0.6005387136312551
1.821014807887685,0.00033142599675107875,1,3,-2.001152625278805,0.4932454313679422
1.9547164477707075,-0.2673680215960104,1,3,-1.738431383694869,0.8029172025715126
1.581062651453613,-0.0471084160990022,1,3,-1.8976010339379272,0.40922795733412154
1.8862919482117857,-0.3098601411838114,1,3,-1.677349899553994,0.8048432603084804
1.8091005241120284,-0.1924060214270206,1,3,-1.788614211660435,0.6592119009608532
1.9720340813238555,0.050989121474909,1,3,-2.088984484925167,0.5275350994691714
1.6803097052783134,0.0408994434355329,1,3,-2.0149292050575682,0.3828640649026276
1.958869360075962,-0.3343093059085979,1,3,-1.6664051661257122,0.8649283220297029
1.9248634143691687,-0.0903956501974441,1,3,-1.9247666612367413,0.6290353815543687
2.3986789674718803,-0.2279685811810606,1,3,-1.8773261677507935,1.0015979940739075
2.1168200613782084,0.067329265994339,1,3,-2.1380842668252007,0.5892093939616728
1.8239602302560587,-0.3972999266753088,1,3,-1.5686207892425414,0.8501474252753334
1.7290590969829482,-0.1759107773348572,1,3,-1.7892806221843647,0.6023027667663116
2.097363804272515,0.2555143421859487,1,3,-2.3388818894538264,0.41078442891450095
1.9655847464369511,-0.0656377065168817,1,3,-1.9605402608186553,0.6283630465429098
1.911412706945424,-0.0343949335443979,1,3,-1.98286456592898,0.5719031773351829
1.9009471765424133,-0.1203132975379868,1,3,-1.8870050848706676,0.6431721296527295
1.9951327975061768,-0.0741524203581989,1,3,-1.957652152874151,0.6515390388109344
1.977160784864265,-0.1801801367028802,1,3,-1.8382633784123135,0.7368244618730913
1.5374286988440562,-0.0726840288592085,1,3,-1.8603070491259486,0.40909657383443393
2.018110707237683,0.0513314553011676,1,3,-2.0993180833905236,0.5515035103466149
2.2453964652738096,0.3795389916390975,1,3,-2.5059920392300294,0.3779350011175093
