File,m,n_clusters,Silhouette Score
D11_data.csv,1.5,2,0.4714251675346275
D11_data.csv,2.0,2,0.4714251675346275
D11_data.csv,4.0,2,0.4623193436741858
D11_data.csv,1.5,3,0.6078470634729696
D11_data.csv,2.0,3,0.48845782700881635
D11_data.csv,4.0,3,0.6060049256788734
D11_data.csv,1.5,4,0.7065859023459862
D11_data.csv,2.0,4,0.7065859023459862
D11_data.csv,4.0,4,0.7065859023459862
D11_data.csv,1.5,5,0.7309778191272656
D11_data.csv,2.0,5,0.7168458008117031
D11_data.csv,4.0,5,0.7257801602279742
D11_data.csv,1.5,6,0.786448842288994
D11_data.csv,2.0,6,0.786448842288994
D11_data.csv,4.0,6,0.786448842288994
D17_data.csv,1.5,2,0.4993119321523422
D17_data.csv,2.0,2,0.48373217249291056
D17_data.csv,4.0,2,0.511812334050026
D17_data.csv,1.5,3,0.651684369873872
D17_data.csv,2.0,3,0.651684369873872
D17_data.csv,4.0,3,0.6512458548976134
D17_data.csv,1.5,4,0.6851035585247004
D17_data.csv,2.0,4,0.7497573803237901
D17_data.csv,4.0,4,0.7497573803237901
D17_data.csv,1.5,5,0.7017802422942553
D17_data.csv,2.0,5,0.8031293541702094
D17_data.csv,4.0,5,0.8031293541702094
D17_data.csv,1.5,6,0.6984554222480471
D17_data.csv,2.0,6,0.7635655593106213
D17_data.csv,4.0,6,0.7654150372607436
D4_data.csv,1.5,2,0.6071512473404166
D4_data.csv,2.0,2,0.6071512473404166
D4_data.csv,4.0,2,0.6071512473404166
D4_data.csv,1.5,3,0.6829056059585646
D4_data.csv,2.0,3,0.6829056059585646
D4_data.csv,4.0,3,0.6829056059585646
D4_data.csv,1.5,4,0.7692955173291269
D4_data.csv,2.0,4,0.7692955173291269
D4_data.csv,4.0,4,0.7692955173291269
D4_data.csv,1.5,5,0.7817126552302771
D4_data.csv,2.0,5,0.7817126552302771
D4_data.csv,4.0,5,0.6525662861177227
D5_data.csv,1.5,2,0.33832984407047345
D5_data.csv,2.0,2,0.33832984407047345
D5_data.csv,4.0,2,0.33832984407047345
D5_data.csv,1.5,3,0.4733289413052525
D5_data.csv,2.0,3,0.4460234011215119
D5_data.csv,4.0,3,0.4624652471535618
D5_data.csv,1.5,4,0.5499427987761255
D5_data.csv,2.0,4,0.5327458253730831
D5_data.csv,4.0,4,0.40262153938190953
D5_data.csv,1.5,5,0.44792825012141635
D5_data.csv,2.0,5,0.4755973820459582
D5_data.csv,4.0,5,0.47166044319561423
D5_data.csv,1.5,6,0.5630619774400875
D5_data.csv,2.0,6,0.5630619774400875
D5_data.csv,4.0,6,0.3170593602247796
D6_data.csv,1.5,2,0.4959215081262286
D6_data.csv,2.0,2,0.49495832606967477
D6_data.csv,4.0,2,0.49006302028243576
D6_data.csv,1.5,3,0.6447070976466837
D6_data.csv,2.0,3,0.6447070976466837
D6_data.csv,4.0,3,0.6403711032474838
D6_data.csv,1.5,4,0.6792399322823719
D6_data.csv,2.0,4,0.6792399322823719
D6_data.csv,4.0,4,0.6792399322823719
D6_data.csv,1.5,5,0.7147343729524546
D6_data.csv,2.0,5,0.7147343729524546
D6_data.csv,4.0,5,0.5814509728348439
D6_data.csv,1.5,6,0.6353572316291237
D6_data.csv,2.0,6,0.6166356346384706
D6_data.csv,4.0,6,0.630966031877155
