File,k,n_clusters,Silhouette Score
D15_data.csv,2,4,0.4827594854301784
D15_data.csv,3,4,0.6371357724006435
D15_data.csv,4,4,0.6546112772270526
D15_data.csv,5,4,0.5461354552204277
D15_data.csv,6,4,0.4482598581953801
D15_data.csv,7,4,0.36997081513422486
D15_data.csv,8,4,0.40041978138985485
D15_data.csv,9,4,0.31009449513390674
D15_data.csv,10,4,0.3170584624382784
D15_data.csv,11,4,0.3201994591490644
D19_data.csv,2,2,0.5948532018644233
D19_data.csv,3,2,0.5586447075557546
D19_data.csv,4,2,0.4246436904994186
D19_data.csv,5,2,0.41265571962873127
D19_data.csv,6,2,0.3857159248145664
D19_data.csv,7,2,0.35917820610466633
D19_data.csv,8,2,0.36010140367618826
D19_data.csv,9,2,0.35442607748283594
D19_data.csv,10,2,0.35270343028677753
D19_data.csv,11,2,0.33949286304142395
D24_data.csv,2,6,0.41414004756031714
D24_data.csv,3,6,0.5006218582515235
D24_data.csv,4,6,0.5828033343989298
D24_data.csv,5,6,0.6533403923308053
D24_data.csv,6,6,0.6771808651898216
D24_data.csv,7,6,0.6322186887300985
D24_data.csv,8,6,0.5826847075091413
D24_data.csv,9,6,0.5560896186792262
D24_data.csv,10,6,0.5087893068335301
D24_data.csv,11,6,0.4887476825253639
D3_data.csv,2,4,0.5002469860414336
D3_data.csv,3,4,0.6398429099055878
D3_data.csv,4,4,0.7221008236551499
D3_data.csv,5,4,0.5990819200829648
D3_data.csv,6,4,0.5706749247480177
D3_data.csv,7,4,0.5619209723774574
D3_data.csv,8,4,0.4634530697571649
D3_data.csv,9,4,0.4554453581536448
D3_data.csv,10,4,0.43653759155373995
D3_data.csv,11,4,0.43596555999018305
D8_data.csv,2,6,0.39068874700872896
D8_data.csv,3,6,0.4997438970744007
D8_data.csv,4,6,0.5775762446517267
D8_data.csv,5,6,0.644349932472129
D8_data.csv,6,6,0.7096172498402175
D8_data.csv,7,6,0.6295535512442771
D8_data.csv,8,6,0.5620145529066067
D8_data.csv,9,6,0.5017715836117193
D8_data.csv,10,6,0.5006111478806013
D8_data.csv,11,6,0.44278002951928047
