File,m,n_clusters,Silhouette Score
D12_data.csv,1.5,2,0.5143300035698094
D12_data.csv,2.0,2,0.46259138427712504
D12_data.csv,4.0,2,0.4634545738739582
D12_data.csv,1.5,3,0.6882910545197102
D12_data.csv,2.0,3,0.6882910545197102
D12_data.csv,4.0,3,0.6530374361827905
D12_data.csv,1.5,4,0.8449665494335042
D12_data.csv,2.0,4,0.8449665494335042
D12_data.csv,4.0,4,0.8449665494335042
D12_data.csv,1.5,5,0.8077462211329569
D12_data.csv,2.0,5,0.8077462211329569
D12_data.csv,4.0,5,0.8077462211329569
D13_data.csv,1.5,2,0.6186494742603029
D13_data.csv,2.0,2,0.6186494742603029
D13_data.csv,4.0,2,0.6186494742603029
D13_data.csv,1.5,3,0.5575265034763021
D13_data.csv,2.0,3,0.5580128522903659
D13_data.csv,4.0,3,0.5582921521824383
D1_data.csv,1.5,2,0.46382614797860483
D1_data.csv,2.0,2,0.46140612871158054
D1_data.csv,4.0,2,0.461657442167875
D1_data.csv,1.5,3,0.5385548245667491
D1_data.csv,2.0,3,0.5278492026865511
D1_data.csv,4.0,3,0.49950022599028093
D1_data.csv,1.5,4,0.6616501157749486
D1_data.csv,2.0,4,0.6616501157749486
D1_data.csv,4.0,4,0.6616501157749486
D1_data.csv,1.5,5,0.6877339895925837
D1_data.csv,2.0,5,0.6877339895925837
D1_data.csv,4.0,5,0.6877339895925837
D1_data.csv,1.5,6,0.6854587602844608
D1_data.csv,2.0,6,0.6854587602844608
D1_data.csv,4.0,6,0.6854587602844608
D1_data.csv,1.5,7,0.6430245510601783
D1_data.csv,2.0,7,0.7063569499717259
D1_data.csv,4.0,7,0.7063569499717259
D25_data.csv,1.5,2,0.5735539316979683
D25_data.csv,2.0,2,0.5735539316979683
D25_data.csv,4.0,2,0.5716591512866014
D25_data.csv,1.5,3,0.7875070917785812
D25_data.csv,2.0,3,0.7875070917785812
D25_data.csv,4.0,3,0.7875070917785812
D25_data.csv,1.5,4,0.7507413946198267
D25_data.csv,2.0,4,0.7507413946198267
D25_data.csv,4.0,4,0.7507413946198267
D2_data.csv,1.5,2,0.5188275165977133
D2_data.csv,2.0,2,0.5188275165977133
D2_data.csv,4.0,2,0.5188275165977133
D2_data.csv,1.5,3,0.6341262753067973
D2_data.csv,2.0,3,0.6341262753067973
D2_data.csv,4.0,3,0.38404967825289804
D2_data.csv,1.5,4,0.5890620869822194
D2_data.csv,2.0,4,0.5575725108775967
D2_data.csv,4.0,4,0.5589885842092025
D2_data.csv,1.5,5,0.6764421354215945
D2_data.csv,2.0,5,0.5836474707794136
D2_data.csv,4.0,5,0.6764421354215945
D2_data.csv,1.5,6,0.7127257498367171
D2_data.csv,2.0,6,0.592306877848051
D2_data.csv,4.0,6,0.7127257498367171
D2_data.csv,1.5,7,0.6375225329241945
D2_data.csv,2.0,7,0.6399967577896718
D2_data.csv,4.0,7,0.6374918449386127
